OBJECTID,parkName,altPrkName,parkAddr,addressFull,prkAcreage,bcrpPark,parkOprtr,parkClass,ctyOwndPrk,bcrpAmnty,parkDstrct,cnclDstrct,policeDstrct,lgsltvDstrct,friendsGroup,Shape__Area,Shape__Length,perTreeCover18,perGreenSpace18,perUndvlpEst18,undvlpAcreage18,siteID
56,Elgin Park, ,2821 Gwynns Falls Pkwy,"2821 GWYNNS FALLS PKWY, BALTIMORE, MD, 21216",1.21628819339736,Y,BCRP,Green Space,Y,,Gwynns Falls,7,Western,40,Unknown,52981.7258300781,1070.19863363692,6.47507740168272,91.0132113470943,15.7702274919061,0.191812949554951,P56
57,Ellwood Avenue Park,Ellwood Park,420 N Ellwood Ave,"420 NORTH ELLWOOD AVE, BALTIMORE, MD, 21224",5.85826885134473,Y,BCRP,Neighborhood Park,Y,,Patterson,13,Southeastern,45,Unknown,255187.212097168,3719.27602498531,20.6897680743352,87.8873222299059,5.28633154467425,0.309689991772965,P57
58,Elm Park, ,3416 Elm Ave,"3416 ELM AVE, BALTIMORE, MD, 21211",0.263459890693282,Y,BCRP,Mini Park,Y,,Druid Hill,14,Northern,40,Unknown,11476.3587036133,433.376235177437,25.6573435366632,80.8351513632177,6.61318162722583,0.017423220471783,P58
59,Elmley Avenue Park, ,3347 Cliftmont Ave (Rear),"3347 CLIFTMONT AVE, BALTIMORE, MD, 21213",1.40879194344185,Y,BCRP,Mini Park,Y,,Clifton,13,Eastern,45,Unknown,61367.2223510742,1352.96083673528,21.1691103566798,69.8778141837235,8.78696101353234,0.123790989156962,P59
60,Eutaw Place Median Park, ,1200 - 2000 Eutaw Pl,"2000 EUTAW PL, BALTIMORE, MD, 21217",5.44280449247276,Y,BCRP,Neighborhood Park,Y,,Druid Hill,"7, 11",Western,40,Unknown,237089.511352539,7364.11411829325,61.6206910103395,88.7911391664378,63.4856917869957,3.45542972801491,P60
61,Evesham Avenue Park, ,Northern Pkwy & Clearspring Rd,"EAST NORTHERN PKWY & CLEARSPRING RD, BALTIMORE, MD, 21212",4.11381734262933,Y,BCRP,Neighborhood Park,Y,,Clifton,4,Northeastern,43,Unknown,179198.600646973,3468.9408030393,79.6851055164842,97.5380151377374,68.9654030204655,2.83713340686929,P61
62,Farring Baybrook Park,Duane Avenue Park,4501 Fairing Ct,"4501 FAIRING CT, BALTIMORE, MD, 21225",91.1842248724558,Y,BCRP,Citywide Park,Y,,Carroll,10,Southern,46,Unknown,3972000.7243042,20748.3362079299,26.6438712423924,90.0092499209472,22.2574721663995,20.2954658343736,P62
63,Fawcett & Hampden Park, ,401 Fawcett St,"401 FAWCETT ST, BALTIMORE, MD, 21211",0.124995922909855,Y,BCRP,Mini Park,Y,,Druid Hill,12,Northern,43,Unknown,5444.84436035156,289.36130754266,40.4231873021447,47.0281457499032,26.3470977324727,0.0329330614343669,P63
64,Federal Hill Park, ,300 Warren Ave,"300 WARREN AVE, BALTIMORE, MD, 21230",10.6384411482782,Y,BCRP,Citywide Park,Y,,Carroll,11,Southern,46,Yes,463412.349975586,3373.09488759414,23.7168591141461,89.574901601019,22.0829294426501,2.34929824690172,P64
65,Ferry Bar Park, ,2700 Light St,"2700 LIGHT ST, BALTIMORE, MD, 21230",0.569826639316129,Y,BCRP,Mini Park,Y,,Carroll,11,Southern,46,Unknown,24821.7474975586,646.238023572788,5.14804394184939,99.9999660701421,85.300396664905,0.486068272173467,P65
66,F. Scott Fitzgerald Park, ,1627 Bolton St,"1627 BOLTON ST, BALTIMORE, MD, 21217",0.299291282774468,Y,BCRP,Mini Park,Y,,Druid Hill,7,Western,40,Unknown,13037.180480957,462.395737599033,55.6209946142264,89.2473808319944,16.3097009069539,0.0488139035711584,P66
67,Florence Cummins Park, ,2501 Maisel St,"2501 MAISEL ST, BALTIMORE, MD, 21230",4.36850212090664,Y,BCRP,Neighborhood Park,Y,,Carroll,10,Southern,46,Unknown,190292.713500977,1726.43941155446,8.86267057389056,92.9030321630632,11.8316239455536,0.516868877937826,P67
68,Flowerton Road Park, ,4249 Flowerton Rd (Rear),"4249 FLOWERTON RD, BALTIMORE, MD, 21229",0.290314837250911,Y,BCRP,Mini Park,Y,,Gwynns Falls,8,Southwestern,41,Unknown,12646.1649169922,521.305193004468,36.8971983079022,90.6471220166785,31.1953546436671,0.0905654675851737,P68
69,Forest Park Golf Course, ,2900 Hillsdale Rd,"2900 HILLSDALE RD, BALTIMORE, MD, 21207",180.706047719294,Y,BCRP,Special Use - Facility,Y,,Gwynns Falls,8,Northwestern,41,Unknown,7871586.92578125,19920.2425638624,39.7529571520027,97.265370333286,22.486382122001,40.6345774833706,P69
70,Forrest Street Park, ,1100 Forrest St Park,"1100 FORREST ST, BALTIMORE, MD, 21202",0.265963520488439,Y,BCRP,Mini Park,Y,,Patterson,12,Central,45,Unknown,11585.4172973633,438.260413773147,30.5640637103288,34.5949373991825,7.08038870613126,0.0188314017178543,P70
71,Fort Armistead Park, ,4000 Hawkins Point Rd,"4000 HAWKINS POINT RD, BALTIMORE, MD, 21226",37.417358102662,Y,BCRP,Citywide Park,Y,,Carroll,10,Southern,46,Unknown,1629906.63861084,6695.17213458778,43.9183670363976,84.2384714824597,82.5406888188857,30.8847921933627,P71
